détails,état,marque,adresse,prix,image_lien
𝗛𝗣 𝗣𝗥𝗢𝗕𝗢𝗢𝗞 𝟲𝟱𝟬 𝗚𝟰 | 𝗰𝗼𝗿𝗲 𝗶𝟱,Venant,HP,"Médina, Dakar",175000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c1f2d8a257d6381d5d93ead0539d2bb/-/horizon-files-prod/ed/picture/qde9dm55/2fe0347b5248b5a36fc95feda4c0d10fdbc17468.jpg
Dell 5490 i5 8th ram 8 go,Venant,Dell,"Médina, Dakar",135000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fcf5a5a3094a477cb09fb45f7502189c/-/horizon-files-prod/ed/picture/qq4qmgqj/7d60185eb952522055204c611000fed67956df2b.jpg
Dell Alienware M16 R1,Neuf,Dell,"Médina, Dakar",1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7894f886996b9f0d8ac1a57b468d22e7/-/horizon-files-prod/ed/picture/qv4dp7np/8eb315b794ef552a700c9815bd1f17cec33ba20c.jpg
Dell Precision 3571 Douzième génération,Venant,Dell,"Médina, Dakar",375000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4ced368c9e53440accdaec15750a50a2/-/horizon-files-prod/ed/picture/q56ppjz6/595213838e740ce3ee3817a3e74e63d24d9ab992.jpg
MacBook Air M2,Neuf,Apple,"Ouest foire, Dakar",400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/605d863bd8f7bc227d0c1e570f087358/-/horizon-files-prod/ed/picture/qde9dz6w/e229093e7c1149812e61b109912994a7a1ea35b3.jpg
HP Envy 15 X360 cor i7,Neuf,HP,"Médina, Dakar",550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/44518f29b503450825a17bfa74bc077d/-/horizon-files-prod/ed/picture/qv4dw7pp/18dd4e4e3dc9a0c88db01b068ebfaab43d75077e.jpg
Dell 7390 cor i7 Tactile 2-in-1,Venant,Dell,"Médina, Dakar",250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/19b0784804c962986184b85a1b167018/-/horizon-files-prod/ed/picture/qng9dd8r/3bed80040175ee6c4c98debaa92e2a805ef03f6f.jpg
HP Elitebook 840 G6 cor i5 de 8th génération,Venant,HP,"Médina, Dakar",220000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ebfa98c9d6c2d603cbf85378ff338da1/-/horizon-files-prod/ed/picture/q9mkrxvv/db6cd96563da1e83fe7e3040274286010f8ac482.jpg
Dell 5420 cor i7 de 11th génération,Venant,Dell,"Médina, Dakar",280000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f1c2702ee73a089738666a2c1533a05f/-/horizon-files-prod/ed/picture/q78jx46d/cb8863482b9d3c16ce8a5e57b77a3cdd0afe5c4b.jpg
Dell PRECISION 5550,Venant,Dell,"Hlm, Dakar",395000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b54059d499f9f2a72e6015f04cc6df12/-/horizon-files-prod/ed/picture/q6xqr8j4/16dbcf474f5c38fbd18f167fa6e5bd690eee2f1d.jpg
