détails,état,marque,adresse,prix,image_lien
Samsung Galaxy z flip 6 256GB 12GB,Venant,Samsung,"Pikine, Dakar",370000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a96dc1d8c8cfba9bff82281336b581bc/-/horizon-files-prod/ed/picture/q6xqrnnd/a5abd3a94d3cb6a60cd355521ed26ae198e8d248.jpg
Samsung galaxy A06 neuf 128go ram 4go,Neuf,Samsung,"Patte d‘oie, Dakar",60000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2cb7fba9ad3d44098fe849f4747c3800/-/horizon-files-prod/ed/picture/q2jk0zdv/893f575bffe3351f1da7084c4114a22c9c0fd02b.png
Samsung galaxy A05 neuf 64go ram 4go,Neuf,Samsung,"Patte d‘oie, Dakar",50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/48ec1ae4b84dd6490a6215dcd5c4f5bf/-/horizon-files-prod/ed/picture/qkr8jzgp/135086468c737afab3f5c4d61df7cb16ac85d07c.jpg
Google pixels 8 Pro 5G 12GB 12GB ram,Venant,Google,"Pikine, Dakar",250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6c3e7fca1bcd011f511c89f8d848c157/-/horizon-files-prod/ed/picture/qv4dg8wp/7b3f5e7608b8686b92dc8e788c76bf624b37f2e8.jpg
IPhone XR,Venant,iPhone,"Point-e, Dakar",174996,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eb0c9931ac9d711d21d066527d71d24c/-/horizon-files-prod/ed/picture/qrzv7j7j/80ac25a36eb92764abb1de6229cc357d2fc1a8e1.jpg
Iphone 15 Pro Max,Venant,iPhone,"Point-e, Dakar",700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ba6896f9a78657d5bfffb0dc08d8ebb1/-/horizon-files-prod/ed/picture/q6xkpqeg/df759d7b6abc2ccd162fa498c963d955c6209131.jpg
IPhone 11 Pro Max,Venant,iPhone,"Point-e, Dakar",330000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/221813c740f797106ebc452e0f60d233/-/horizon-files-prod/ed/picture/qj4rzx7d/c35205f730f1a880ab6d1f257cbbac6aa800e549.jpg
Iphone 16Simple 256Go Esim,Neuf,iPhone,"Médina, Dakar",480000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e0c5a245591b6b3e50ce02ce0785df21/-/horizon-files-prod/ed/picture/qxj86vw4/880c2c1b41b652295b969f27bcf7280f1d8c013c.jpg
iPhone 12 Pro Max 256 go,Neuf,iPhone,"Sicap Liberté, Dakar",300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/182b163cf9d92b5a0ef4c4d955901569/-/horizon-files-prod/ed/picture/qj4659md/3e645ebfb328a88636738875e2876ab66c94342d.jpg
iPhone 13 Pro Max 256 go,Neuf,iPhone,"Sicap Liberté, Dakar",370000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/062085ba7648ad1b1b2b1864a5dc0a53/-/horizon-files-prod/ed/picture/qkr76nmv/38759f21797dbe83811ca93262dc95a8a4ffea7f.jpg
