détails,état,marque,adresse,prix,image_lien
SMART TV SAMSUNG 65 DU7000 UHD 4K,Neuf,Samsung,"Keur Massar, Dakar",480000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/118aae7b94584bac146c06af072f02fe/-/horizon-files-prod/ed/picture/qj4qk07z/6e950640a05d72609fb2604d5489583a5759628e.jpg
Tcl smart tv 75 pouces WiFi 4K USB UHD,Neuf,TCL,"Plateau, Dakar",550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3deccf6bad09117138e35bc464b3812f/-/horizon-files-prod/ed/picture/qwepwz5k/3f2581487df35df910020340d3320083a741e073.jpg
TV SAMSUNG 55 DU7000 4K WiFi,Neuf,Samsung,"Plateau, Dakar",400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fe7b25e218a0b4ac06f7595e4f8e8422/-/horizon-files-prod/ed/picture/q0vr72e/b5f294ce1b5823ceb20e0fadd787083700363761.png
TÉLÉCOMMANDE TV LG SMARTV,Neuf,LG,"Dieuppeul, Dakar",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f814cca9d5024e50ad74d32830267b95/-/horizon-files-prod/ed/picture/q9m0renn/333d540e31d6474cde338b9dacea2a649c6e8d09.jpg
Télécommande lg smartv le meilleur de ça génération,Neuf,LG,"Dieuppeul, Dakar",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fa4b45b324a601c3d67254eb78233553/-/horizon-files-prod/ed/picture/q2j05dr2/42871194d8d1ce87c7a86900948a618aa5d5205d.jpg
TÉLÉVISION SMART TV SAMSUNG AU 75 DU7000 UHD 4K,Neuf,Samsung,"Keur Massar, Dakar",624900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bbcc5386fca5b0e525807cb0a6027820/-/horizon-files-prod/ed/picture/qde9dzp7/794e9d4e3e453b53e819c11201d8d208bb2c347c.jpg
Tv astech,Neuf,N/A,"Plateau, Dakar",145000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/425fb5f52c9edf2d8859fd2ba1e5b0f9/-/horizon-files-prod/ed/picture/q0gw6kmg/7e04609c906f6724c50a0c95a49873b717fbb284.jpg
Smart tv 43 pouces Marque Deska,Neuf,Autre,"Médina, Dakar",115000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fd88a1ab3ba30e0b1f87cdfcb97a6947/-/horizon-files-prod/ed/picture/qj4qqdpz/312fb31174336a7ae4c31da0330d285ed3190b24.jpg
SMART TV 32 POUCE AIRFLUX / AF-TV32SMART,Neuf,Autre,"Médina, Dakar",65000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/55eaed89bf0a7a3cc785d2105658558e/-/horizon-files-prod/ed/picture/qde78knm/e9032c4c305c7ac52bf24c48828a2705775c30eb.jpg
TELEVISEUR 55POUCES ASTECH SMART GOOGLE TV 55GT3022R,Neuf,Astech,"Plateau, Dakar",249000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e98c63b680ab8efc63d4e454d23e051b/-/horizon-files-prod/ed/picture/q8vmkdd7/599a1de8ebc4317d9a496e77065c6915a8b8f4a0.jpg
TELEVISEUR 43POUCES DESKA SMART ANTI CASSE 43TG90E,Neuf,Autre,"Plateau, Dakar",129000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7258fc5ef78b0284f91d19fe7245f4bc/-/horizon-files-prod/ed/picture/q0gk8zzz/4032144b1cb5a3ce2e7a62e044ed59387318ca1c.jpg
TELEVISEUR 55POUCES DESKA SMART ANTICASSE 55TG90E,Neuf,Autre,"Plateau, Dakar",229000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eff10bbe320d4f4555f89dd63cacc7c7/-/horizon-files-prod/ed/picture/qde9d667/8bfadb40370375d79011fa8a9cfcc7cda2a15d8f.jpg
TABLE SUPPORT TÉLÉVISEUR 32 75pouces VSTAR 1700,Neuf,Autre,"Plateau, Dakar",89000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/732ad549f4612a49a3ad2b95582a1d8b/-/horizon-files-prod/ed/picture/qgqm4048/6543a4db4728499b57ef0865510f430b3bf4a546.jpg
"SMART TV HISENSE 32"" (2024)",Neuf,Hisense,"Pikine, Dakar",100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/56cfeed4f1e8b6a2adf477eee0271bd5/-/horizon-files-prod/ed/picture/qngpv68w/fbf2b007d463b9e327ce16637d98f590655d6b57.jpg
"SMART TV LG 86"" 4K AI (2024)",Neuf,LG,"Pikine, Dakar",1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e7ec3f634018c06c6e2061c02b90bec6/-/horizon-files-prod/ed/picture/q6xqkmrz/3e2d358d90c0e341019e8136da559564272f4d25.jpg
SAMSUNG 75 POUCES SMART TV 4K UHD,Neuf,Samsung,"Plateau, Dakar",900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ad0fe655185d468ccdfa1670e54972a/-/horizon-files-prod/ed/picture/q8v5n4wp/39d4721bc1849d6420055bf33282b1c358b9d940.jpg
"SMART LG 75"" UHD 4K (2024)",Neuf,LG,"Pikine, Dakar",750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/10ddb7c9f61dbeb7c04fe1651979dabd/-/horizon-files-prod/ed/picture/qxjpneqn/cb1f446e6d377c35c8bb7a6111cf88901b6a7d34.jpg
"smart google tv qled haier 55"" 4k",Neuf,Haier,"Ouakam, Dakar",275000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c7d34e778d387f125902baefb990f166/-/horizon-files-prod/ed/picture/qkr760xm/60a66e2bb3578d2c5d8c9274712183a393ad109a.jpg
Led Tv 24 pouces Star track télévision,Neuf,Star,"Médina, Dakar",50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0d9962c8f6b238b65a3a9882c344f0d3/-/horizon-files-prod/ed/picture/q566kd7g/e10710796a654756e21f5712cae2f10488cbeb22.jpg
"Support TV de 24"" à 75"" pouces",Neuf,Autre,"Grand-Dakar, Dakar",17000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c8b6a763e509ef004f7722952c23c3f8/-/horizon-files-prod/ed/picture/q2jr98nv/1202541923cf2c9f8970bed04fe5b6f793fe9d9c.jpg
"Samsung QLED 70"" AI 4K (2025)",Neuf,Samsung,"Patte d‘oie, Dakar",950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/686a4721e79828a58815ab93dc1d63a8/-/horizon-files-prod/ed/picture/qv4d99z5/f722cae3c763581f45093fc65c410a2c2e1db063.jpg
"LG 65"" UT80 4K AI (2024) 🇺🇸",Neuf,LG,"Pikine, Dakar",500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a92a5b766373858488550d2cb46c85be/-/horizon-files-prod/ed/picture/qkr8wjwv/6f6d4363aca5290000b47077719e4a356f1bc3b9.jpg
